date,deployment,requests,input_tokens,output_tokens,total_tokens,spend_usd,p50_latency_ms,p95_latency_ms,error_rate_pct,availability_pct,tier1_tickets,automated_tier1_tickets,automation_rate_pct,avg_handle_time_min,csat_score,grounded_answer_rate_pct,quality_eval_pass_rate_pct,escalation_rate_pct,operational_note
2026-08-01,northstar-flagship-support-ft-v1,18993,20170566,6381648,26552214,29.64,693,1899,1.34,99.812,4371,2859,65.4,8.15,80.6,91.8,91.1,14.6,
2026-08-02,northstar-flagship-support-ft-v1,19743,20651178,6554676,27205854,30.38,681,1856,1.3,99.818,4437,2902,65.4,8.1,80.6,91.9,91.1,14.4,
2026-08-03,northstar-flagship-support-ft-v1,20424,21404352,6719496,28123848,31.36,672,1845,1.27,99.822,4492,2947,65.6,8.07,80.7,92,91.3,14.3,
2026-08-04,northstar-flagship-support-ft-v1,20870,22059590,6782750,28842340,32.06,660,1846,1.23,99.828,4532,2987,65.9,8.02,80.9,92,91.5,14.1,
2026-08-05,northstar-flagship-support-ft-v1,21786,22504938,7363668,29868606,33.51,674,1787,1.26,99.824,4554,2997,65.8,8.05,80.8,92.4,91.4,14.2,
2026-08-06,northstar-flagship-support-ft-v1,21961,23212777,7378896,30591673,34.17,666,1816,1.23,99.828,4559,3018,66.2,8.02,81.1,92.5,91.8,14,
2026-08-07,northstar-flagship-support-ft-v1,21824,22653312,7201920,29855232,33.35,652,1766,1.19,99.833,4549,3011,66.2,7.97,81.1,92.5,91.8,13.8,
2026-08-08,northstar-flagship-support-ft-v1,21830,22441240,7225730,29666970,33.2,648,1734,1.17,99.836,4525,3000,66.3,7.94,81.2,92.6,91.8,13.7,
2026-08-09,northstar-flagship-support-ft-v1,23883,24933852,7905273,32839125,36.67,642,2168,2.18,99.695,4494,2997,66.7,7.92,81.4,92.8,92.1,13.6,Catalog sync caused a latency and error spike; mitigated the same day
2026-08-10,northstar-flagship-support-ft-v1,21322,21684474,6780396,28464870,31.72,619,1683,1.07,99.85,4460,2970,66.6,7.84,81.3,92.7,92,13.3,
2026-08-11,northstar-flagship-support-ft-v1,21929,22652657,7280428,29933085,33.49,634,1697,1.11,99.845,4429,2963,66.9,7.87,81.6,93.1,92.3,13.4,
2026-08-12,northstar-flagship-support-ft-v1,22190,23499210,7389270,30888480,34.45,629,1729,1.09,99.847,4407,2966,67.3,7.85,81.9,93.2,92.6,13.3,
2026-08-13,northstar-flagship-support-ft-v1,22429,22989725,7356712,30346437,33.93,616,1652,1.04,99.854,4398,2955,67.2,7.8,81.8,93.3,92.5,13.1,
2026-08-14,northstar-flagship-support-ft-v1,23448,24854880,7925424,32780304,36.64,627,1702,1.07,99.85,4406,2983,67.7,7.82,82.1,93.6,92.9,13.2,
2026-08-15,northstar-flagship-support-ft-v1,23776,24893472,7750976,32644448,36.36,603,1663,0.99,99.861,4432,3005,67.8,7.74,82.2,93.5,93,12.9,
2026-08-16,northstar-flagship-support-ft-v1,24761,26073333,8121608,34194941,38.08,601,1658,0.98,99.863,4474,3042,68,7.73,82.3,93.6,93.1,12.8,
2026-08-17,northstar-flagship-support-ft-v1,25572,26032296,8285328,34317624,38.34,589,1581,0.94,99.868,4530,3076,67.9,7.68,82.2,93.7,93,12.6,
2026-08-18,northstar-flagship-support-ft-v1,27222,28555878,9309924,37865802,42.46,610,1621,0.99,99.861,4597,3140,68.3,7.73,82.5,94.1,93.4,12.8,
2026-08-19,northstar-flagship-support-ft-v1,27877,29605374,9338795,38944169,43.45,595,1630,0.94,99.868,4669,3203,68.6,7.68,82.7,94.2,93.6,12.6,
2026-08-20,northstar-flagship-support-ft-v1,28792,30058848,9760488,39819336,44.62,595,1582,0.94,99.868,4740,3252,68.6,7.67,82.7,94.3,93.6,12.5,
2026-08-21,northstar-flagship-support-ft-v1,29383,30617086,9931454,40548540,45.43,589,1794,1.41,99.803,4804,3305,68.8,7.64,82.8,94.5,93.8,12.4,Traffic burst during promotion; autoscaling threshold adjusted
2026-08-22,northstar-flagship-support-ft-v1,29069,30435243,9273011,39708254,44.08,555,1557,0.81,99.887,4857,3351,69,7.53,83,94.3,93.9,12,
2026-08-23,northstar-flagship-support-ft-v1,29827,31199042,9932391,41131433,45.96,570,1541,0.85,99.881,4894,3387,69.2,7.56,83.1,94.6,94.1,12.1,
2026-08-24,northstar-flagship-support-ft-v1,30185,32086655,10262900,42349555,47.35,576,1557,0.86,99.88,4914,3415,69.5,7.57,83.3,95.7,94.4,12.1,RAG index refresh improved grounding on return-policy questions
2026-08-25,northstar-flagship-support-ft-v1,29536,31337696,9540128,40877824,45.38,545,1537,0.76,99.894,4917,3427,69.7,7.47,83.4,95.5,94.5,11.8,
2026-08-26,northstar-flagship-support-ft-v1,29974,30483558,10071264,40554822,45.56,559,1443,0.79,99.889,4904,3408,69.5,7.5,83.3,95.9,94.2,11.8,
2026-08-27,northstar-flagship-support-ft-v1,29418,31065408,9472596,40538004,45.01,532,1499,0.71,99.901,4879,3415,70,7.41,83.7,95.8,94.7,11.5,
2026-08-28,northstar-flagship-support-ft-v1,30196,32007760,10266640,42274400,47.29,553,1491,0.77,99.892,4847,3403,70.2,7.46,83.8,96.2,94.9,11.7,
2026-08-29,northstar-flagship-support-ft-v1,29785,30708335,9590770,40299105,44.9,522,1424,0.67,99.906,4813,3374,70.1,7.36,83.7,96,94.8,11.3,
2026-08-30,northstar-flagship-support-ft-v1,30369,31037118,9900294,40937412,45.75,523,1393,0.66,99.908,4783,3358,70.2,7.35,83.8,96.2,94.9,11.2,
2026-08-31,northstar-flagship-support-ft-v1,31189,33216285,10354748,43571033,48.53,525,1455,0.66,99.908,4763,3372,70.8,7.35,84.2,96.5,95.3,11.2,
